n_threads,n_matrix,iteration,checksym_time,transpose_time
2,16,25,0.000198588, 6.6561e-05
2,16,26,0.000195297, 6.5116e-05
2,16,27,0.000148057, 9.0479e-05
2,16,28,0.000206585, 7.9679e-05
2,16,29,0.000227048, 7.9277e-05
2,16,30,0.000151583, 6.9923e-05
2,16,31,0.000210731, 8.4381e-05
2,16,32,0.000148987, 8.2612e-05
2,16,33,0.000202068, 5.5668e-05
2,16,34,0.000198905, 6.6553e-05
2,16,35,0.000209899, 6.1608e-05
2,16,36,0.000151277, 7.4087e-05
2,16,37,0.00015296, 9.6909e-05
2,16,38,0.000235535, 9.3602e-05
2,16,39,0.000214349, 7.206e-05
2,16,40,0.000159642, 5.2331e-05
2,16,41,0.000199419, 6.3588e-05
2,16,42,0.000258969, 8.0354e-05
2,16,43,0.00021931, 6.0094e-05
2,16,44,0.000241401, 5.9329e-05
2,16,45,0.000198369, 6.3508e-05
2,16,46,0.000200541, 5.8194e-05
2,16,47,0.000199363, 6.499e-05
2,16,48,0.000150904, 7.2659e-05
2,16,49,0.000144394, 6.3603e-05
2,16,50,0.000146111, 9.6924e-05
2,16,51,0.000198102, 0.000108513
2,16,52,0.000151012, 6.9287e-05
2,16,53,0.000188448, 5.8505e-05
2,16,54,0.000213787, 7.2796e-05
2,16,55,0.000143894, 0.000100898
2,16,56,0.000158554, 6.3935e-05
2,16,57,0.000150047, 9.8463e-05
2,16,58,0.000194606, 6.8871e-05
2,16,59,0.000147363, 6.268e-05
2,16,60,0.000191242, 8.9917e-05
2,16,61,0.00021486, 6.9096e-05
2,16,62,0.000176028, 5.5445e-05
2,16,63,0.000167178, 6.112e-05
2,16,64,0.000201296, 7.5276e-05
2,16,65,0.000196389, 6.1271e-05
2,16,66,0.000204813, 7.124e-05
2,16,67,0.000199684, 8.2934e-05
2,16,68,0.000220602, 7.5439e-05
2,16,69,0.000209639, 7.5149e-05
2,16,70,0.000151276, 5.9534e-05
2,16,71,0.00015267, 6.9829e-05
2,16,72,0.000148726, 6.2416e-05
2,16,73,0.000214977, 7.0725e-05
2,16,74,0.000196373, 5.7261e-05
2,16,75,0.00024557, 7.2064e-05
2,16,76,0.000136912, 5.92e-05
2,16,77,0.000213854, 9.0001e-05
2,16,78,0.00014939, 5.5568e-05
2,16,79,0.000150094, 9.5376e-05
2,16,80,0.000201142, 6.0531e-05
2,16,81,0.00019326, 6.5322e-05
2,16,82,0.000147064, 5.6616e-05
2,16,83,0.000234668, 6.7453e-05
2,16,84,0.000197306, 7.6356e-05
2,16,85,0.00020382, 9.8206e-05
2,16,86,0.000204288, 6.0091e-05
2,16,87,0.000200443, 9.7228e-05
2,16,88,0.00020973, 9.6344e-05
2,16,89,0.000149146, 6.7528e-05
2,16,90,0.000245015, 6.3371e-05
2,16,91,0.000201101, 9.1686e-05
2,16,92,0.000159403, 8.6357e-05
2,16,93,0.000210753, 8.6802e-05
2,16,94,0.000215954, 6.0724e-05
2,16,95,0.000147747, 6.0836e-05
2,16,96,0.000151254, 5.5451e-05
2,16,97,0.000148643, 7.3121e-05
2,16,98,0.000150091, 6.2543e-05
2,16,99,0.00026098, 7.065e-05
2,16,100,0.00014648, 5.955e-05
4,16,1,0.000264117, 5.4243e-05
4,16,2,0.000270052, 5.4534e-05
4,16,3,0.00024553, 5.2495e-05
4,16,4,0.00029588, 6.7022e-05
4,16,5,0.000324481, 5.7724e-05
4,16,6,0.000283801, 6.3082e-05
4,16,7,0.000348837, 6.2322e-05
4,16,8,0.000268494, 4.5749e-05
