n_processes,n_matrix,iteration,checksym_time,transpose_time
2,16,48,0.000104189,4.673e-05
2,16,49,0.000505924,4.29153e-05
2,16,50,8.72612e-05,5.55515e-05
2,16,51,9.13143e-05,2.76566e-05
2,16,52,0.000221252,4.24385e-05
2,16,53,0.000182629,4.02927e-05
2,16,54,0.0011375,4.00543e-05
2,16,55,0.00117135,2.59876e-05
2,16,56,0.00010848,4.07696e-05
2,16,57,0.000463009,4.05312e-05
2,16,58,0.00201559,2.14577e-05
2,16,59,0.000604153,2.88486e-05
2,16,60,9.75132e-05,4.36306e-05
2,16,61,0.00077486,2.90871e-05
2,16,62,0.000574827,2.95639e-05
2,16,63,0.000388622,4.24385e-05
2,16,64,8.51154e-05,4.62532e-05
2,16,65,7.98702e-05,4.69685e-05
2,16,66,0.00102496,4.50611e-05
2,16,67,0.000937462,4.33922e-05
2,16,68,9.75132e-05,3.29018e-05
2,16,69,8.34465e-05,3.19481e-05
2,16,70,9.25064e-05,3.67165e-05
2,16,71,0.000863552,4.36306e-05
2,16,72,9.75132e-05,5.26905e-05
2,16,73,0.00133419,4.33922e-05
2,16,74,7.62939e-05,3.83854e-05
2,16,75,9.13143e-05,4.3869e-05
2,16,76,0.000110149,6.53267e-05
2,16,77,8.53539e-05,4.76837e-05
2,16,78,0.000480652,5.43594e-05
2,16,79,8.34465e-05,3.45707e-05
2,16,80,9.05991e-05,4.02927e-05
2,16,81,8.32081e-05,2.98023e-05
2,16,82,0.00130582,4.17233e-05
2,16,83,9.08375e-05,5.48363e-05
2,16,84,0.000106812,6.41346e-05
2,16,85,0.00105238,4.81606e-05
2,16,86,0.00120664,4.14848e-05
2,16,87,0.000468731,5.10216e-05
2,16,88,0.000105858,6.4373e-05
2,16,89,8.41618e-05,6.00815e-05
2,16,90,8.39233e-05,3.50475e-05
2,16,91,8.98838e-05,5.45979e-05
2,16,92,8.60691e-05,4.33922e-05
2,16,93,7.9155e-05,3.91006e-05
2,16,94,8.9407e-05,5.36442e-05
2,16,95,8.39233e-05,4.55379e-05
2,16,96,0.00113177,2.59876e-05
2,16,97,9.36985e-05,3.60012e-05
2,16,98,0.000149727,3.69549e-05
2,16,99,0.000458241,2.52724e-05
2,16,100,0.00109982,2.14577e-05
4,16,1,0.000393152,3.69549e-05
4,16,2,0.00136566,2.36034e-05
4,16,3,0.00012207,5.79357e-05
4,16,4,0.000777721,3.93391e-05
4,16,5,8.98838e-05,3.55244e-05
4,16,6,0.000245094,3.3617e-05
4,16,7,0.000932693,2.52724e-05
4,16,8,0.00124526,1.95503e-05
4,16,9,0.00160193,5.26905e-05
4,16,10,0.00213766,2.7895e-05
4,16,11,0.00140023,5.72205e-05
4,16,12,9.60827e-05,3.48091e-05
4,16,13,0.00154757,2.02656e-05
4,16,14,0.000692844,2.59876e-05
4,16,15,0.000111341,5.6982e-05
4,16,16,0.00190711,2.16961e-05
4,16,17,0.00306368,5.91278e-05
4,16,18,0.000475407,5.4121e-05
4,16,19,0.00256419,4.1008e-05
4,16,20,0.000701427,3.67165e-05
4,16,21,0.00176406,2.57492e-05
4,16,22,0.000503778,1.85966e-05
4,16,23,0.00143242,3.45707e-05
4,16,24,0.00125813,3.19481e-05
4,16,25,0.000140905,4.02927e-05
4,16,26,0.00204396,2.0504e-05
4,16,27,0.00147676,3.19481e-05
4,16,28,0.00217676,2.52724e-05
4,16,29,0.00105786,3.74317e-05
4,16,30,0.000156641,3.12328e-05
4,16,31,0.0021174,3.95775e-05
4,16,32,0.00101995,2.38419e-05
4,16,33,0.00214505,2.52724e-05
4,16,34,0.00126433,3.69549e-05
4,16,35,0.000864029,3.95775e-05
4,16,36,0.000102282,2.55108e-05
4,16,37,0.00149727,1.97887e-05
4,16,38,0.001683,2.28882e-05
4,16,39,0.00155878,3.76701e-05
4,16,40,0.000374079,3.76701e-05
4,16,41,0.000145674,6.41346e-05
4,16,42,0.00160623,3.05176e-05
4,16,43,0.00164175,2.0504e-05
4,16,44,0.00151753,3.6478e-05
4,16,45,9.799e-05,3.83854e-05
4,16,46,0.00189304,3.95775e-05
4,16,47,0.000771046,3.79086e-05
4,16,48,0.000109673,2.64645e-05
4,16,49,0.000219345,4.22001e-05
4,16,50,0.000564814,2.83718e-05
4,16,51,0.000258684,4.19617e-05
4,16,52,0.000449419,3.57628e-05
4,16,53,0.0019784,1.95503e-05
4,16,54,0.00101519,4.31538e-05
4,16,55,0.000676632,2.83718e-05
4,16,56,0.000992298,2.5034e-05
4,16,57,0.00150037,2.09808e-05
4,16,58,0.000761747,4.50611e-05
4,16,59,0.000863791,5.76973e-05
4,16,60,0.00140738,2.09808e-05
4,16,61,9.63211e-05,2.90871e-05
4,16,62,0.00117683,2.93255e-05
4,16,63,0.000797033,2.24113e-05
4,16,64,0.000855923,3.50475e-05
4,16,65,9.48906e-05,4.19617e-05
4,16,66,0.00136757,4.12464e-05
4,16,67,0.00099659,3.43323e-05
4,16,68,0.00071311,3.76701e-05
4,16,69,0.0021522,3.91006e-05
4,16,70,0.00287247,2.5034e-05
4,16,71,0.00158715,2.36034e-05
4,16,72,0.00129843,2.71797e-05
4,16,73,0.000668049,2.86102e-05
4,16,74,0.00137067,2.16961e-05
4,16,75,0.000105381,4.86374e-05
4,16,76,0.00194788,3.69549e-05
4,16,77,0.00155807,2.21729e-05
4,16,78,0.00079298,2.76566e-05
4,16,79,0.00136399,3.6478e-05
4,16,80,0.000171661,3.55244e-05
4,16,81,0.000243425,4.26769e-05
4,16,82,0.000139952,6.53267e-05
4,16,83,0.00131416,2.90871e-05
4,16,84,9.46522e-05,3.3617e-05
4,16,85,0.00127745,2.67029e-05
4,16,86,0.000112295,4.22001e-05
4,16,87,0.00013876,5.38826e-05
4,16,88,0.000757933,3.95775e-05
4,16,89,8.72612e-05,4.02927e-05
4,16,90,8.4877e-05,3.98159e-05
4,16,91,0.000356436,5.72205e-05
4,16,92,0.00020504,4.88758e-05
4,16,93,8.9407e-05,4.88758e-05
4,16,94,0.000603199,2.40803e-05
4,16,95,0.000546932,3.98159e-05
4,16,96,0.00134754,4.41074e-05
4,16,97,8.22544e-05,3.93391e-05
4,16,98,0.00105548,4.19617e-05
4,16,99,0.00141501,1.90735e-05
4,16,100,0.00153422,2.43187e-05
8,16,1,0.000122786,3.86238e-05
8,16,2,0.00017333,5.07832e-05
8,16,3,0.00074625,5.00679e-05
8,16,4,0.00177431,4.22001e-05
8,16,5,0.000531197,2.31266e-05
8,16,6,0.00057745,4.29153e-05
8,16,7,0.00129437,2.47955e-05
8,16,8,0.000233173,5.126e-05
8,16,9,0.000149727,5.07832e-05
8,16,10,0.00064683,4.31538e-05
8,16,11,0.000183582,5.126e-05
8,16,12,0.000179768,5.03063e-05
8,16,13,0.000160694,3.76701e-05
8,16,14,0.000850439,3.69549e-05
8,16,15,0.000699759,3.88622e-05
8,16,16,0.00120449,2.09808e-05
8,16,17,0.00116587,3.71933e-05
8,16,18,0.00150251,5.00679e-05
8,16,19,0.00254583,2.00272e-05
8,16,20,0.000762701,2.88486e-05
8,16,21,0.000660658,3.57628e-05
8,16,22,0.000207901,2.98023e-05
8,16,23,0.000799417,5.07832e-05
8,16,24,0.000389814,3.05176e-05
8,16,25,0.00160599,3.0756e-05
8,16,26,0.00192094,4.22001e-05
8,16,27,0.000912189,4.3869e-05
8,16,28,0.00150728,1.71661e-05
8,16,29,0.0010426,3.21865e-05
8,16,30,0.00088644,2.55108e-05
8,16,31,0.000223637,3.12328e-05
8,16,32,0.00191689,2.38419e-05
8,16,33,0.00148869,3.09944e-05
8,16,34,0.00172877,2.67029e-05
8,16,35,0.000695705,2.43187e-05
8,16,36,0.000262499,3.00407e-05
8,16,37,0.00125289,2.43187e-05
8,16,38,0.000109196,3.40939e-05
8,16,39,0.00109625,2.28882e-05
8,16,40,0.00148916,2.93255e-05
8,16,41,0.000967979,3.57628e-05
8,16,42,0.00153971,4.95911e-05
8,16,43,0.00017786,4.8399e-05
8,16,44,0.000465155,4.22001e-05
8,16,45,0.00034976,2.57492e-05
8,16,46,0.000257015,3.86238e-05
8,16,47,0.000515699,3.33786e-05
8,16,48,0.000159025,3.62396e-05
8,16,49,0.000610113,4.26769e-05
8,16,50,0.000727892,3.50475e-05
8,16,51,0.000209332,5.00679e-05
8,16,52,0.000404835,2.95639e-05
8,16,53,0.000147343,3.33786e-05
8,16,54,0.00227284,3.00407e-05
8,16,55,0.000694752,5.126e-05
8,16,56,0.000449657,4.60148e-05
8,16,57,0.000269651,4.14848e-05
8,16,58,0.000137568,3.6478e-05
8,16,59,0.000965834,4.00543e-05
8,16,60,0.000198841,5.00679e-05
8,16,61,0.00013876,3.95775e-05
8,16,62,0.00176334,5.03063e-05
8,16,63,0.00243592,2.64645e-05
8,16,64,0.000660658,4.26769e-05
8,16,65,0.00151849,3.93391e-05
8,16,66,0.00173759,3.12328e-05
8,16,67,0.00253868,3.12328e-05
8,16,68,0.00103235,3.67165e-05
8,16,69,0.00225687,2.38419e-05
8,16,70,0.000132561,3.88622e-05
8,16,71,0.0025146,3.12328e-05
8,16,72,0.00193191,3.21865e-05
8,16,73,0.000205517,5.98431e-05
8,16,74,0.0001266,4.93526e-05
8,16,75,0.000130177,4.76837e-05
8,16,76,0.000427961,4.24385e-05
8,16,77,0.00249743,2.21729e-05
8,16,78,0.000510454,3.62396e-05
8,16,79,0.00103164,3.71933e-05
8,16,80,0.00172257,2.69413e-05
8,16,81,0.0015533,2.59876e-05
8,16,82,0.00172782,3.40939e-05
8,16,83,0.00211358,2.28882e-05
8,16,84,0.000532627,3.43323e-05
8,16,85,0.00161266,5.03063e-05
8,16,86,0.00173569,2.40803e-05
8,16,87,0.000547886,3.40939e-05
8,16,88,0.0013721,3.52859e-05
8,16,89,0.00134063,2.14577e-05
8,16,90,0.00230861,2.24113e-05
8,16,91,0.000151396,4.95911e-05
8,16,92,0.0011363,3.26633e-05
8,16,93,0.000906944,3.3617e-05
8,16,94,0.000925541,3.57628e-05
8,16,95,0.000950336,3.43323e-05
8,16,96,0.000200748,2.88486e-05
8,16,97,0.00200152,2.59876e-05
8,16,98,0.000197887,5.03063e-05
8,16,99,0.000694513,4.91142e-05
8,16,100,0.000163317,3.14713e-05
16,16,1,0.00027585,5.07832e-05
16,16,2,0.00033927,5.62668e-05
16,16,3,0.000197172,3.79086e-05
16,16,4,0.0026052,3.43323e-05
16,16,5,0.00175905,5.98431e-05
16,16,6,0.00116444,2.3365e-05
16,16,7,0.00103974,2.76566e-05
16,16,8,0.00110602,5.45979e-05
16,16,9,0.000327587,4.17233e-05
16,16,10,0.000739574,3.86238e-05
16,16,11,0.000171185,5.98431e-05
16,16,12,0.000119209,3.45707e-05
16,16,13,0.0011847,3.93391e-05
16,16,14,0.000512123,5.88894e-05
16,16,15,0.00114512,4.3869e-05
16,16,16,0.00291038,3.93391e-05
16,16,17,0.00247908,4.05312e-05
16,16,18,0.00176525,3.48091e-05
16,16,19,0.0015192,3.55244e-05
16,16,20,0.00207138,4.3869e-05
16,16,21,0.000185728,5.96046e-05
16,16,22,0.00164175,4.07696e-05
16,16,23,0.000141144,3.55244e-05
16,16,24,0.000192404,4.43459e-05
16,16,25,0.000993252,4.12464e-05
16,16,26,0.00194669,5.53131e-05
16,16,27,0.000289679,4.91142e-05
16,16,28,0.000166893,6.07967e-05
16,16,29,0.00018239,5.93662e-05
16,16,30,0.000759363,5.07832e-05
16,16,31,0.00171661,4.64916e-05
16,16,32,0.000213861,5.38826e-05
16,16,33,0.000641823,6.12736e-05
16,16,34,0.000678062,5.55515e-05
16,16,35,0.000117302,4.88758e-05
16,16,36,0.000138283,5.55515e-05
16,16,37,0.000174999,6.58035e-05
16,16,38,0.000147104,4.79221e-05
16,16,39,0.00169849,4.52995e-05
16,16,40,0.000926256,4.60148e-05
16,16,41,0.00121641,3.98159e-05
16,16,42,0.00222301,5.126e-05
16,16,43,0.00224853,5.67436e-05
16,16,44,0.000510693,3.19481e-05
16,16,45,0.000480413,4.12464e-05
16,16,46,0.000447273,3.52859e-05
16,16,47,0.00176597,3.76701e-05
16,16,48,0.00217199,4.86374e-05
16,16,49,0.00134516,3.3617e-05
16,16,50,0.00136042,3.71933e-05
16,16,51,0.000323772,5.38826e-05
16,16,52,0.00126863,3.6478e-05
16,16,53,0.00136352,5.29289e-05
16,16,54,0.00230503,4.74453e-05
16,16,55,0.00041914,5.60284e-05
16,16,56,0.000156164,6.00815e-05
16,16,57,0.000593424,8.96454e-05
16,16,58,0.000231743,3.8147e-05
16,16,59,0.00177813,5.62668e-05
16,16,60,0.00109625,3.79086e-05
16,16,61,0.000393629,5.48363e-05
16,16,62,0.00207806,5.74589e-05
16,16,63,0.00109935,3.62396e-05
16,16,64,0.000572443,5.05447e-05
16,16,65,0.000100136,2.88486e-05
16,16,66,0.00257254,2.5034e-05
16,16,67,0.000549078,3.38554e-05
16,16,68,0.000294209,5.57899e-05
16,16,69,0.00018239,6.12736e-05
16,16,70,0.00180054,3.50475e-05
16,16,71,0.00241137,4.8399e-05
16,16,72,0.00075078,4.22001e-05
16,16,73,0.00127459,4.17233e-05
16,16,74,0.000143528,5.91278e-05
16,16,75,0.000356913,5.45979e-05
16,16,76,0.000208616,5.8651e-05
16,16,77,0.000892639,4.64916e-05
16,16,78,0.00254941,3.26633e-05
16,16,79,0.000221252,5.96046e-05
16,16,80,0.00201869,5.10216e-05
16,16,81,0.000863552,4.72069e-05
16,16,82,0.00155258,3.86238e-05
16,16,83,0.000183105,5.98431e-05
16,16,84,0.000199795,5.93662e-05
16,16,85,0.00187111,4.52995e-05
16,16,86,0.000213623,5.96046e-05
16,16,87,0.00161028,6.00815e-05
16,16,88,0.00160789,5.05447e-05
16,16,89,0.000891685,4.69685e-05
16,16,90,9.89437e-05,3.38554e-05
16,16,91,0.00188017,3.6478e-05
16,16,92,0.00137568,4.57764e-05
16,16,93,0.00115347,4.24385e-05
16,16,94,0.00156307,4.8399e-05
16,16,95,0.000397682,4.76837e-05
16,16,96,0.000778675,4.76837e-05
16,16,97,0.000525475,5.34058e-05
16,16,98,0.00167322,4.12464e-05
16,16,99,0.000305891,6.4373e-05
16,16,100,0.000474215,5.22137e-05
1,32,1,3.38554e-05,0.000111103
1,32,2,3.00407e-05,0.000110388
1,32,3,3.09944e-05,0.000105143
1,32,4,3.3617e-05,0.000108719
1,32,5,3.09944e-05,0.000102282
1,32,6,3.29018e-05,0.000114679
1,32,7,3.26633e-05,0.000114918
1,32,8,4.02927e-05,9.13143e-05
1,32,9,3.26633e-05,0.000108719
1,32,10,3.29018e-05,0.000108004
1,32,11,3.55244e-05,0.000116587
1,32,12,3.19481e-05,0.000108719
1,32,13,3.40939e-05,9.44138e-05
1,32,14,3.50475e-05,9.60827e-05
1,32,15,2.93255e-05,9.84669e-05
1,32,16,2.93255e-05,9.63211e-05
1,32,17,3.09944e-05,0.00010705
1,32,18,3.05176e-05,0.000103951
1,32,19,3.0756e-05,0.000102043
1,32,20,2.93255e-05,9.56059e-05
1,32,21,3.09944e-05,0.000101805
1,32,22,3.09944e-05,0.000102997
1,32,23,2.76566e-05,9.34601e-05
1,32,24,2.98023e-05,9.9659e-05
1,32,25,2.95639e-05,9.58443e-05
1,32,26,2.93255e-05,9.799e-05
1,32,27,3.14713e-05,0.00010252
1,32,28,3.00407e-05,9.82285e-05
1,32,29,2.90871e-05,0.000100136
1,32,30,3.67165e-05,0.000107288
1,32,31,3.00407e-05,9.60827e-05
1,32,32,3.0756e-05,0.000109673
1,32,33,3.09944e-05,0.000102997
1,32,34,3.29018e-05,0.000108719
1,32,35,3.29018e-05,0.000108004
1,32,36,3.50475e-05,0.000103951
1,32,37,3.71933e-05,0.000117302
1,32,38,3.48091e-05,0.000116825
1,32,39,3.50475e-05,0.000119925
1,32,40,3.48091e-05,0.000123024
1,32,41,2.93255e-05,9.65595e-05
1,32,42,3.29018e-05,0.000112772
1,32,43,3.29018e-05,0.000108957
1,32,44,3.52859e-05,0.000116348
1,32,45,3.05176e-05,0.000101328
1,32,46,3.12328e-05,0.00010252
1,32,47,3.12328e-05,0.000102043
1,32,48,3.29018e-05,0.000108719
1,32,49,3.12328e-05,0.000104427
1,32,50,3.26633e-05,0.000108004
1,32,51,3.31402e-05,0.000111341
1,32,52,2.67029e-05,8.67844e-05
1,32,53,3.45707e-05,0.000115633
1,32,54,3.09944e-05,9.98974e-05
1,32,55,2.93255e-05,9.01222e-05
1,32,56,3.29018e-05,0.000122786
1,32,57,3.29018e-05,0.000108004
1,32,58,2.7895e-05,9.05991e-05
1,32,59,3.48091e-05,0.000116587
1,32,60,2.93255e-05,9.72748e-05
1,32,61,2.93255e-05,0.000100136
1,32,62,3.24249e-05,0.00010848
1,32,63,3.0756e-05,0.000102282
1,32,64,3.50475e-05,0.000116587
1,32,65,3.24249e-05,0.000108957
1,32,66,3.12328e-05,0.000108719
1,32,67,3.21865e-05,0.000109196
1,32,68,3.12328e-05,0.000105381
1,32,69,3.48091e-05,9.70364e-05
1,32,70,3.12328e-05,0.000105143
1,32,71,2.67029e-05,8.63075e-05
1,32,72,2.93255e-05,0.000103474
1,32,73,2.95639e-05,9.72748e-05
1,32,74,3.0756e-05,0.000103235
1,32,75,3.17097e-05,0.000103235
1,32,76,3.55244e-05,0.000116825
1,32,77,3.09944e-05,0.000102043
1,32,78,3.48091e-05,0.000117064
1,32,79,3.29018e-05,0.000109434
1,32,80,3.0756e-05,0.000102282
1,32,81,3.48091e-05,0.000116587
1,32,82,3.24249e-05,0.000108957
1,32,83,3.12328e-05,0.000102282
1,32,84,3.0756e-05,0.000102997
1,32,85,2.57492e-05,8.29697e-05
1,32,86,3.0756e-05,0.000102282
1,32,87,3.0756e-05,0.000102043
1,32,88,3.29018e-05,0.000107765
1,32,89,3.26633e-05,0.000108004
1,32,90,3.09944e-05,0.000102282
1,32,91,2.93255e-05,9.58443e-05
1,32,92,2.90871e-05,9.56059e-05
1,32,93,3.0756e-05,0.000102282
1,32,94,2.93255e-05,9.63211e-05
1,32,95,3.26633e-05,0.000108719
1,32,96,2.98023e-05,9.60827e-05
1,32,97,2.69413e-05,9.53674e-05
1,32,98,3.12328e-05,0.000102758
1,32,99,3.24249e-05,0.000108242
1,32,100,2.95639e-05,9.58443e-05
2,32,1,0.000720263,5.65052e-05
2,32,2,8.34465e-05,8.44002e-05
2,32,3,9.34601e-05,9.48906e-05
2,32,4,0.000271559,7.58171e-05
2,32,5,8.13007e-05,7.34329e-05
2,32,6,8.27312e-05,7.05719e-05
2,32,7,0.00026536,5.62668e-05
2,32,8,0.000110865,7.03335e-05
2,32,9,8.63075e-05,7.62939e-05
2,32,10,0.000485897,6.84261e-05
2,32,11,0.00144839,4.31538e-05
2,32,12,0.00149345,4.1008e-05
2,32,13,7.96318e-05,6.81877e-05
2,32,14,0.000478506,7.10487e-05
2,32,15,9.39369e-05,6.93798e-05
2,32,16,0.000101328,6.93798e-05
2,32,17,7.22408e-05,6.69956e-05
2,32,18,7.9155e-05,8.24928e-05
2,32,19,8.41618e-05,7.72476e-05
2,32,20,0.000426769,6.10352e-05
2,32,21,0.000547171,3.8147e-05
2,32,22,0.000319481,7.22408e-05
2,32,23,7.58171e-05,7.03335e-05
2,32,24,0.000891447,7.20024e-05
2,32,25,0.00033474,4.72069e-05
2,32,26,8.39233e-05,8.17776e-05
2,32,27,0.00158143,8.2016e-05
2,32,28,0.000715733,8.32081e-05
2,32,29,0.0016017,5.26905e-05
2,32,30,9.87053e-05,9.53674e-05
2,32,31,9.94205e-05,7.7486e-05
2,32,32,9.03606e-05,8.82149e-05
2,32,33,0.000158072,8.91685e-05
2,32,34,8.96454e-05,9.36985e-05
2,32,35,8.96454e-05,4.72069e-05
2,32,36,9.32217e-05,7.62939e-05
2,32,37,0.0013175,6.1512e-05
2,32,38,9.17912e-05,8.7738e-05
2,32,39,9.70364e-05,7.41482e-05
2,32,40,0.000244379,5.67436e-05
2,32,41,0.00141549,4.31538e-05
2,32,42,8.72612e-05,9.46522e-05
2,32,43,0.000198603,4.79221e-05
2,32,44,0.000396252,7.41482e-05
2,32,45,0.000998735,4.02927e-05
2,32,46,0.0015862,7.41482e-05
2,32,47,0.00131512,6.48499e-05
2,32,48,0.000304699,4.00543e-05
2,32,49,0.000222445,7.72476e-05
2,32,50,8.44002e-05,7.89165e-05
2,32,51,0.000600576,7.03335e-05
2,32,52,0.000382423,6.31809e-05
2,32,53,0.000867367,6.12736e-05
2,32,54,0.000102758,0.000119209
2,32,55,0.00106978,5.8651e-05
2,32,56,7.98702e-05,7.67708e-05
2,32,57,0.000100851,0.000100851
2,32,58,0.000819683,6.12736e-05
2,32,59,7.05719e-05,7.31945e-05
2,32,60,7.34329e-05,7.29561e-05
2,32,61,0.000121117,0.000137091
2,32,62,8.72612e-05,8.79765e-05
2,32,63,0.000245333,3.8147e-05
2,32,64,0.000974417,4.17233e-05
2,32,65,0.00144124,5.26905e-05
2,32,66,0.00072217,7.96318e-05
2,32,67,8.03471e-05,7.53403e-05
2,32,68,0.000564814,8.10623e-05
2,32,69,0.000116587,0.000123024
2,32,70,0.000196934,7.62939e-05
2,32,71,0.000984907,7.39098e-05
2,32,72,8.44002e-05,8.84533e-05
2,32,73,0.000509501,5.48363e-05
2,32,74,9.05991e-05,8.86917e-05
2,32,75,0.000228167,6.96182e-05
2,32,76,8.60691e-05,8.9407e-05
